setup,event,feature_budget,block_length,best_mcc,best_balanced_accuracy,best_f1,min_fpr,selected_configuration
A,DROOP,15,50,0.7867119732774034,0.8873059571154459,0.8765099186104393,0.00922899613135115,0
A,DROOP,15,100,0.8135504576188866,0.902691010099935,0.8952821853859874,0.00923255393195049,0
A,DROOP,15,200,0.8351939721553793,0.9146292029356545,0.9092119245779847,0.010774022870797062,0
A,DROOP,15,500,0.8850750363247398,0.9403011672458345,0.9378773894750846,0.011494252873563218,0
A,DROOP,15,1000,0.9924202817553173,0.9961240310077519,0.99625468164794,0.007751937984496124,1
A,DROOP,30,50,0.3276416984132962,0.61327296394263,0.3942810770856797,0.00922899613135115,0
A,DROOP,30,100,0.38165412768079726,0.6434513610256738,0.467742909088208,0.008466278562382265,0
A,DROOP,30,200,0.40438618426907075,0.6561628833134209,0.49083111505471755,0.009216589861751152,0
A,DROOP,30,500,0.5413018119818969,0.7362559030562238,0.632435465768799,0.007662835249042145,0
A,DROOP,30,1000,0.6212229808923154,0.7849718111346018,0.7405052537446903,0.015151515151515152,0
A,DROOP,50,50,0.255748528750667,0.5775017247763118,0.2982243611018918,0.00961612739104608,0
A,DROOP,50,100,0.31564567246495795,0.6073007240592728,0.3798424371286368,0.009230780146372786,0
A,DROOP,50,200,0.3096498947608352,0.606136570518291,0.37754991971754875,0.01075268817204301,0
A,DROOP,50,500,0.5157446853133684,0.7208856811904125,0.5983670932564906,0.011494252873563218,0
A,DROOP,50,1000,0.5968270090130225,0.7693798449612403,0.7070267088223762,0.015151515151515152,0
A,RH,5,50,-0.019566285416376596,0.49826923076923074,0.012847460263826063,0.01,0
A,RH,5,100,0.02179747105250927,0.5023076923076923,0.03134591128670976,0.01,0
A,RH,5,150,0.0801540070045226,0.5122365021079831,0.06884501089790958,0.009322725418196653,0
A,RH,5,200,0.08905559777400138,0.513076923076923,0.07283967193919609,0.009230769230769232,0
A,RH,5,250,0.06453526521975803,0.5096153846153846,0.05810122976905043,0.009615384615384616,0
A,RH,5,300,0.07715221139580306,0.5104924760601915,0.062328757384937164,0.009302325581395349,0
A,RH,5,350,0.09958235932799522,0.5151065449010654,0.07814851814851816,0.00821917808219178,0
A,RH,5,400,0.10429527847692217,0.5153846153846154,0.08126437596453248,0.009230769230769232,0
A,RH,5,450,0.09784346516251763,0.5174833635813673,0.08359715305533588,0.010405323653962493,0
A,RH,5,500,0.11694380043513133,0.5192307692307693,0.09416546416546416,0.011538461538461539,0
A,RH,5,550,0.11340227632885713,0.519195189639223,0.09618247298919567,0.01285846438482886,0
A,RH,5,600,0.11787814370799081,0.5192218350754936,0.09033189033189033,0.009523809523809523,0
A,RH,5,650,0.09032299927260133,0.5153846153846154,0.08552521405612727,0.010256410256410256,0
A,RH,5,700,0.09672560590329599,0.5194444444444445,0.10232118758434547,0.01096096096096096,0
A,RH,5,750,0.08884008524402655,0.5177361853832443,0.08365079365079366,0.011764705882352941,0
A,RH,5,800,0.12817594787513628,0.5222782258064516,0.10610516934046346,0.012701612903225806,0
A,RH,5,850,0.08180289058605184,0.5279556650246306,0.11666666666666665,0.014039408866995073,0
A,RH,5,900,0.1230018020012114,0.5349753694581281,0.14437788018433179,0.013793103448275862,0
A,RH,5,950,0.14036042202358168,0.5307692307692309,0.14383838383838382,0.015384615384615385,0
A,RH,5,1000,0.1802371135320217,0.5423076923076924,0.17362433862433863,0.015384615384615385,0
A,RH,8,50,-0.03486670893262894,0.49653846153846154,0.006829992048079335,0.009615384615384616,0
A,RH,8,100,-0.017450555111216855,0.4976923076923077,0.013529647923914267,0.01,0
A,RH,8,150,0.026069623525157893,0.5011729906160751,0.020509434167271263,0.008146334829321365,0
A,RH,8,200,0.024927395320024,0.5023076923076923,0.02697926053286655,0.009230769230769232,0
A,RH,8,250,0.03171580798461845,0.5019230769230769,0.02990719515142015,0.009615384615384616,0
A,RH,8,300,0.03324318294645696,0.5046648426812586,0.03595846101464079,0.0093296853625171,0
A,RH,8,350,0.0230305893927261,0.5040905631659056,0.04136396936396937,0.00821917808219178,0
A,RH,8,400,0.0557389311747136,0.5076923076923077,0.04749780509218613,0.009230769230769232,0
A,RH,8,450,0.115178138514945,0.5190865093768905,0.08913957390138728,0.010526315789473684,0
A,RH,8,500,0.20267905297766262,0.5461538461538462,0.18623669077714639,0.011538461538461539,0
A,RH,8,550,0.3125182362293384,0.6004162812210916,0.35282141648686294,0.00851063829787234,0
A,RH,8,600,0.3354268242500658,0.6079558652729384,0.3597380011293055,0.009523809523809523,0
A,RH,8,650,0.35691495627958447,0.6205128205128205,0.39793197278911563,0.010256410256410256,0
A,RH,8,700,0.36671917475766735,0.6317567567567568,0.4351747365612912,0.010810810810810811,0
A,RH,8,750,0.3890557139461116,0.6390374331550802,0.44353777400783834,0.011764705882352941,0
A,RH,8,800,0.4091967737006235,0.6505040322580645,0.47134584428551046,0.012701612903225806,0
A,RH,8,850,0.4087349878369032,0.6498768472906404,0.4699904800761594,0.014039408866995073,0
A,RH,8,900,0.3903607488346377,0.6431034482758621,0.45966108966108965,0.013793103448275862,0
A,RH,8,950,0.3795437998606667,0.6423076923076924,0.45467030234432615,0.015384615384615385,0
A,RH,8,1000,0.38260037711801587,0.6423076923076924,0.4539400266140504,0.015384615384615385,0
A,RH,10,50,0.7318876348258913,0.8517307692307693,0.8279476742714357,0.009615384615384616,0
A,RH,10,100,0.7963876145603808,0.8903846153846153,0.878363334355188,0.01,0
A,RH,10,150,0.8300534515282261,0.9096627226982184,0.9018251775207586,0.010499116007071943,0
A,RH,10,200,0.8235220711745137,0.9061538461538461,0.8977166624225447,0.009230769230769232,0
A,RH,10,250,0.8074757573073988,0.8951923076923076,0.8819346150211341,0.009615384615384616,0
A,RH,10,300,0.7898251055755947,0.8858686730506156,0.8714449703358614,0.011627906976744186,0
A,RH,10,350,0.7708360490767903,0.8749429223744292,0.8579879158474929,0.010996955859969558,0
A,RH,10,400,0.7630316275031831,0.8692307692307694,0.8480188748510077,0.012307692307692308,0
A,RH,10,450,0.7455734258796783,0.8581972171808833,0.8339078235508787,0.010465819721718088,0
A,RH,10,500,0.7407703354937006,0.8557692307692308,0.8307969804478681,0.011538461538461539,0
A,RH,10,550,0.8026821839201169,0.8932469935245143,0.8803096067503388,0.01276595744680851,0
A,RH,10,600,0.819890621822392,0.9038908246225319,0.894749005159964,0.009523809523809523,0
A,RH,10,650,0.8308892714438907,0.9102564102564102,0.902584330786449,0.010256410256410256,0
A,RH,10,700,0.8650153772887543,0.9282282282282281,0.9225627825627825,0.016516516516516516,0
