setup,domain,rank_in_domain,feature,importance_score,node_stability,conditional_dependence,display_score
A,CORE,1,Core2 (Socket 0).14_C6res%,1.0,1.0,1.0,1.0
A,CORE,2,Core3 (Socket 0).14_C6res%,0.9119629895707044,1.0,0.9309436635702154,0.9427759432209579
A,CORE,3,Core1 (Socket 0).14_C6res%,0.9411291103558084,0.8888888888888888,0.9854747366578968,0.9228450328423865
A,CORE,4,Core0 (Socket 0).14_C6res%,0.8634633288607779,0.9821428571428571,0.8734110708394186,0.9050011637595057
A,MEMORY,1,System.10_L2HIT,0.6195620268026706,1.0,0.6866009259900304,0.7527153174217358
A,MEMORY,2,Socket 0.8_L2HIT,0.6195620268026695,1.0,0.6866009259900283,0.7527153174217351
A,MEMORY,3,Core0 (Socket 0).6_L2MISS,0.5657473652390299,1.0,0.5403630074062428,0.7177357874053694
A,MEMORY,4,Core3 (Socket 0).7_L3HIT,0.5643659503587298,1.0,0.5865791568287505,0.7168378677331744
A,SENSOR,1,Core0 (Socket 0).16_TEMP,0.4057742346367948,1.0,0.4860902898385996,0.6137532525139167
A,SENSOR,2,Proc Energy (Joules)_SKT0,0.3735789219219881,1.0,0.4731067763747154,0.5928262992492923
A,SENSOR,3,System.22_Proc Energy (Joules),0.3735789219219881,1.0,0.4731067763747154,0.5928262992492923
A,SENSOR,4,Core3 (Socket 0).16_TEMP,0.3045586001638362,1.0,0.316461746475745,0.5479630901064935
B,CORE,1,Core0 (Socket 0).18_ACYC,1.0,1.0,0.8876419798192438,1.0
B,CORE,2,Core1 (Socket 0).18_ACYC,0.8523527677959235,1.0,0.8412174861519806,0.9040292990673503
B,CORE,3,System.17_TIME(ticks),0.8485430435590545,1.0,0.8042778650409647,0.9015529783133854
B,CORE,4,Core3 (Socket 0).19_TIME(ticks),0.8485430435590542,1.0,0.8042778650409641,0.9015529783133852
B,MEMORY,1,Core3 (Socket 0).9_L3MPI,0.8096842733219074,1.0,1.0,0.8762947776592398
B,MEMORY,2,Core0 (Socket 0).5_L3MISS,0.8036799727414378,1.0,0.8758945692189026,0.8723919822819346
B,MEMORY,3,Core0 (Socket 0).6_L2MISS,0.7674823563096392,1.0,0.8660497611882554,0.8488635316012655
B,MEMORY,4,Core2 (Socket 0).9_L3MPI,0.7371802590910282,1.0,0.9023433415212222,0.8291671684091684
B,SENSOR,1,System.22_Proc Energy (Joules),0.6179964518763998,1.0,0.8367336149793919,0.7516976937196599
B,SENSOR,2,Proc Energy (Joules)_SKT0,0.6179964518763986,1.0,0.8367336149793893,0.7516976937196591
B,SENSOR,3,Power Plane 0 Energy (Joules)_SKT0,0.5690213487515396,1.0,0.7413214368018881,0.7198638766885008
B,SENSOR,4,Core0 (Socket 0).16_TEMP,0.5149215911759695,1.0,0.7483490657428248,0.6846990342643802
