setup,event,workload,mcc,fpr,oracle_mcc,oracle_fpr,mcc_gap_to_workload_oracle
A,DROOP,DFT,1.0,0.0,1.0,0.0,0.0
A,DROOP,DJ,1.0,0.0,1.0,0.0,0.0
A,DROOP,DP,1.0,0.0,1.0,0.0,0.0
A,DROOP,GL,1.0,0.0,1.0,0.0,0.0
A,DROOP,GS,1.0,0.0,1.0,0.0,0.0
A,DROOP,HA,1.0,0.0,1.0,0.0,0.0
A,DROOP,JA,0.859116756396542,0.16666666666666666,1.0,0.0,0.14088324360345805
A,DROOP,MM,1.0,0.0,1.0,0.0,0.0
A,DROOP,NI,1.0,0.0,1.0,0.0,0.0
A,DROOP,OE,1.0,0.0,1.0,0.0,0.0
A,DROOP,PI,1.0,0.0,1.0,0.0,0.0
A,DROOP,SH,1.0,0.0,1.0,0.0,0.0
A,DROOP,TR,1.0,0.0,1.0,0.0,0.0
A,RH,DFT,1.0,0.0,1.0,0.0,0.0
A,RH,DJ,0.9264911064067352,0.08,1.0,0.0,0.07350889359326485
A,RH,DP,1.0,0.0,1.0,0.0,0.0
A,RH,GL,1.0,0.0,1.0,0.0,0.0
A,RH,GS,1.0,0.0,1.0,0.0,0.0
A,RH,HA,1.0,0.0,1.0,0.0,0.0
A,RH,JA,1.0,0.0,1.0,0.0,0.0
A,RH,MM,1.0,0.0,1.0,0.0,0.0
A,RH,NI,1.0,0.0,1.0,0.0,0.0
A,RH,OE,1.0,0.0,1.0,0.0,0.0
A,RH,PI,1.0,0.0,1.0,0.0,0.0
A,RH,SH,1.0,0.0,1.0,0.0,0.0
A,RH,TR,1.0,0.0,1.0,0.0,0.0
B,DROOP,DFT,1.0,0.0,1.0,0.0,0.0
B,DROOP,DJ,1.0,0.0,1.0,0.0,0.0
B,DROOP,DP,1.0,0.0,1.0,0.0,0.0
B,DROOP,GL,1.0,0.0,1.0,0.0,0.0
B,DROOP,GS,1.0,0.0,1.0,0.0,0.0
B,DROOP,HA,1.0,0.0,1.0,0.0,0.0
B,DROOP,JA,0.8968283761447912,0.1006535947712418,1.0,0.0,0.10317162385520884
B,DROOP,MM,0.9851175023450617,0.0,1.0,0.0,0.01488249765493832
B,DROOP,NI,1.0,0.0,1.0,0.0,0.0
B,DROOP,OE,1.0,0.0,1.0,0.0,0.0
B,DROOP,PI,1.0,0.0,1.0,0.0,0.0
B,DROOP,SH,1.0,0.0,1.0,0.0,0.0
B,DROOP,TR,1.0,0.0,1.0,0.0,0.0
B,SPECTRE,DFT,1.0,0.0,1.0,0.0,0.0
B,SPECTRE,DJ,1.0,0.0,1.0,0.0,0.0
B,SPECTRE,DP,1.0,0.0,1.0,0.0,0.0
B,SPECTRE,GL,1.0,0.0,1.0,0.0,0.0
B,SPECTRE,GS,1.0,0.0,1.0,0.0,0.0
B,SPECTRE,HA,1.0,0.0,1.0,0.0,0.0
B,SPECTRE,JA,0.8679124626440448,0.16666666666666666,1.0,0.0,0.13208753735595524
B,SPECTRE,MM,1.0,0.0,1.0,0.0,0.0
B,SPECTRE,NI,1.0,0.0,1.0,0.0,0.0
B,SPECTRE,OE,1.0,0.0,1.0,0.0,0.0
B,SPECTRE,PI,1.0,0.0,1.0,0.0,0.0
B,SPECTRE,SH,1.0,0.0,1.0,0.0,0.0
B,SPECTRE,TR,1.0,0.0,1.0,0.0,0.0
