setup,replicate_index,seed,decision_rule,n_blocks,n_alarms,calibration_threshold_rank,calibration_block_count,overall_benign_fpr,boundary_block_fpr,within_phase_fpr,reference_compatibility_pvalue,reference_stale,reference_stale_naive,threshold,threshold_rule,workload_orders
A,1,123,current,156,1,104,104,0.00641025641025641,0.0,0.008547008547008548,0.7915075382652375,0,0,4.996342184855137,finite_sample_upper_rank_with_strict_exceedance,"[[""NI"", ""HA"", ""MM"", ""DP"", ""GL"", ""TR"", ""OE"", ""PI"", ""SH"", ""JA"", ""DJ"", ""GS"", ""DFT""], [""GS"", ""JA"", ""SH"", ""OE"", ""MM"", ""DFT"", ""DJ"", ""GL"", ""PI"", ""NI"", ""HA"", ""TR"", ""DP""], [""SH"", ""DJ"", ""NI"", ""GL"", ""HA"", ""DP"", ""TR"", ""DFT"", ""PI"", ""GS"", ""MM"", ""OE"", ""JA""], [""DJ"", ""TR"", ""OE"", ""DP"", ""GL"", ""HA"", ""GS"", ""MM"", ""SH"", ""NI"", ""PI"", ""JA"", ""DFT""], [""NI"", ""JA"", ""DFT"", ""GL"", ""HA"", ""SH"", ""OE"", ""GS"", ""MM"", ""DJ"", ""DP"", ""PI"", ""TR""]]"
A,1,123,persistence,156,0,104,104,0.0,0.0,0.0,1.0,0,0,4.996342184855137,finite_sample_upper_rank_with_strict_exceedance,"[[""NI"", ""HA"", ""MM"", ""DP"", ""GL"", ""TR"", ""OE"", ""PI"", ""SH"", ""JA"", ""DJ"", ""GS"", ""DFT""], [""GS"", ""JA"", ""SH"", ""OE"", ""MM"", ""DFT"", ""DJ"", ""GL"", ""PI"", ""NI"", ""HA"", ""TR"", ""DP""], [""SH"", ""DJ"", ""NI"", ""GL"", ""HA"", ""DP"", ""TR"", ""DFT"", ""PI"", ""GS"", ""MM"", ""OE"", ""JA""], [""DJ"", ""TR"", ""OE"", ""DP"", ""GL"", ""HA"", ""GS"", ""MM"", ""SH"", ""NI"", ""PI"", ""JA"", ""DFT""], [""NI"", ""JA"", ""DFT"", ""GL"", ""HA"", ""SH"", ""OE"", ""GS"", ""MM"", ""DJ"", ""DP"", ""PI"", ""TR""]]"
A,2,10130,current,156,0,104,104,0.0,0.0,0.0,1.0,0,0,5.260514664531288,finite_sample_upper_rank_with_strict_exceedance,"[[""JA"", ""NI"", ""DJ"", ""GL"", ""OE"", ""HA"", ""SH"", ""TR"", ""DP"", ""MM"", ""GS"", ""PI"", ""DFT""], [""OE"", ""DJ"", ""GS"", ""TR"", ""PI"", ""MM"", ""DP"", ""GL"", ""NI"", ""SH"", ""DFT"", ""JA"", ""HA""], [""DP"", ""SH"", ""MM"", ""NI"", ""PI"", ""GL"", ""HA"", ""JA"", ""GS"", ""TR"", ""DJ"", ""OE"", ""DFT""], [""DP"", ""GS"", ""DJ"", ""HA"", ""SH"", ""JA"", ""MM"", ""NI"", ""OE"", ""TR"", ""DFT"", ""PI"", ""GL""], [""GS"", ""HA"", ""GL"", ""DFT"", ""JA"", ""DP"", ""NI"", ""DJ"", ""OE"", ""SH"", ""MM"", ""TR"", ""PI""]]"
A,2,10130,persistence,156,0,104,104,0.0,0.0,0.0,1.0,0,0,5.260514664531288,finite_sample_upper_rank_with_strict_exceedance,"[[""JA"", ""NI"", ""DJ"", ""GL"", ""OE"", ""HA"", ""SH"", ""TR"", ""DP"", ""MM"", ""GS"", ""PI"", ""DFT""], [""OE"", ""DJ"", ""GS"", ""TR"", ""PI"", ""MM"", ""DP"", ""GL"", ""NI"", ""SH"", ""DFT"", ""JA"", ""HA""], [""DP"", ""SH"", ""MM"", ""NI"", ""PI"", ""GL"", ""HA"", ""JA"", ""GS"", ""TR"", ""DJ"", ""OE"", ""DFT""], [""DP"", ""GS"", ""DJ"", ""HA"", ""SH"", ""JA"", ""MM"", ""NI"", ""OE"", ""TR"", ""DFT"", ""PI"", ""GL""], [""GS"", ""HA"", ""GL"", ""DFT"", ""JA"", ""DP"", ""NI"", ""DJ"", ""OE"", ""SH"", ""MM"", ""TR"", ""PI""]]"
A,3,20137,current,156,2,104,104,0.01282051282051282,0.0,0.017094017094017096,0.4629739621983408,0,1,4.7396806655025285,finite_sample_upper_rank_with_strict_exceedance,"[[""TR"", ""MM"", ""NI"", ""GL"", ""SH"", ""OE"", ""JA"", ""HA"", ""GS"", ""DP"", ""PI"", ""DJ"", ""DFT""], [""PI"", ""OE"", ""DP"", ""MM"", ""SH"", ""DJ"", ""DFT"", ""NI"", ""GS"", ""HA"", ""JA"", ""TR"", ""GL""], [""DP"", ""PI"", ""NI"", ""GS"", ""HA"", ""MM"", ""OE"", ""DJ"", ""SH"", ""GL"", ""DFT"", ""TR"", ""JA""], [""DJ"", ""NI"", ""TR"", ""GL"", ""SH"", ""JA"", ""OE"", ""DP"", ""HA"", ""GS"", ""DFT"", ""PI"", ""MM""], [""PI"", ""GL"", ""DFT"", ""DP"", ""TR"", ""GS"", ""SH"", ""DJ"", ""MM"", ""OE"", ""JA"", ""HA"", ""NI""]]"
A,3,20137,persistence,156,0,104,104,0.0,0.0,0.0,1.0,0,0,4.7396806655025285,finite_sample_upper_rank_with_strict_exceedance,"[[""TR"", ""MM"", ""NI"", ""GL"", ""SH"", ""OE"", ""JA"", ""HA"", ""GS"", ""DP"", ""PI"", ""DJ"", ""DFT""], [""PI"", ""OE"", ""DP"", ""MM"", ""SH"", ""DJ"", ""DFT"", ""NI"", ""GS"", ""HA"", ""JA"", ""TR"", ""GL""], [""DP"", ""PI"", ""NI"", ""GS"", ""HA"", ""MM"", ""OE"", ""DJ"", ""SH"", ""GL"", ""DFT"", ""TR"", ""JA""], [""DJ"", ""NI"", ""TR"", ""GL"", ""SH"", ""JA"", ""OE"", ""DP"", ""HA"", ""GS"", ""DFT"", ""PI"", ""MM""], [""PI"", ""GL"", ""DFT"", ""DP"", ""TR"", ""GS"", ""SH"", ""DJ"", ""MM"", ""OE"", ""JA"", ""HA"", ""NI""]]"
A,4,30144,current,156,0,104,104,0.0,0.0,0.0,1.0,0,0,5.295513274416291,finite_sample_upper_rank_with_strict_exceedance,"[[""HA"", ""NI"", ""PI"", ""SH"", ""DP"", ""TR"", ""GL"", ""DJ"", ""GS"", ""OE"", ""MM"", ""DFT"", ""JA""], [""GL"", ""DP"", ""DJ"", ""JA"", ""OE"", ""PI"", ""NI"", ""TR"", ""MM"", ""DFT"", ""SH"", ""HA"", ""GS""], [""TR"", ""DP"", ""DJ"", ""SH"", ""PI"", ""DFT"", ""MM"", ""OE"", ""JA"", ""HA"", ""GS"", ""GL"", ""NI""], [""GS"", ""DFT"", ""SH"", ""DJ"", ""OE"", ""PI"", ""DP"", ""MM"", ""GL"", ""TR"", ""HA"", ""NI"", ""JA""], [""PI"", ""HA"", ""DFT"", ""NI"", ""TR"", ""GS"", ""DJ"", ""OE"", ""SH"", ""MM"", ""DP"", ""JA"", ""GL""]]"
A,4,30144,persistence,156,0,104,104,0.0,0.0,0.0,1.0,0,0,5.295513274416291,finite_sample_upper_rank_with_strict_exceedance,"[[""HA"", ""NI"", ""PI"", ""SH"", ""DP"", ""TR"", ""GL"", ""DJ"", ""GS"", ""OE"", ""MM"", ""DFT"", ""JA""], [""GL"", ""DP"", ""DJ"", ""JA"", ""OE"", ""PI"", ""NI"", ""TR"", ""MM"", ""DFT"", ""SH"", ""HA"", ""GS""], [""TR"", ""DP"", ""DJ"", ""SH"", ""PI"", ""DFT"", ""MM"", ""OE"", ""JA"", ""HA"", ""GS"", ""GL"", ""NI""], [""GS"", ""DFT"", ""SH"", ""DJ"", ""OE"", ""PI"", ""DP"", ""MM"", ""GL"", ""TR"", ""HA"", ""NI"", ""JA""], [""PI"", ""HA"", ""DFT"", ""NI"", ""TR"", ""GS"", ""DJ"", ""OE"", ""SH"", ""MM"", ""DP"", ""JA"", ""GL""]]"
A,5,40151,current,156,4,104,104,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.0724332072591102,0,1,4.7652116336218615,finite_sample_upper_rank_with_strict_exceedance,"[[""HA"", ""DJ"", ""DP"", ""DFT"", ""NI"", ""TR"", ""MM"", ""GS"", ""GL"", ""JA"", ""SH"", ""OE"", ""PI""], [""DP"", ""HA"", ""MM"", ""NI"", ""TR"", ""JA"", ""GS"", ""GL"", ""PI"", ""DFT"", ""SH"", ""DJ"", ""OE""], [""DP"", ""JA"", ""SH"", ""NI"", ""MM"", ""GL"", ""DFT"", ""OE"", ""HA"", ""TR"", ""DJ"", ""PI"", ""GS""], [""GL"", ""JA"", ""PI"", ""MM"", ""DFT"", ""HA"", ""DJ"", ""OE"", ""GS"", ""TR"", ""SH"", ""NI"", ""DP""], [""PI"", ""DJ"", ""NI"", ""JA"", ""SH"", ""DFT"", ""TR"", ""MM"", ""DP"", ""OE"", ""HA"", ""GL"", ""GS""]]"
A,5,40151,persistence,156,1,104,104,0.00641025641025641,0.0,0.008547008547008548,0.7915075382652375,0,0,4.7652116336218615,finite_sample_upper_rank_with_strict_exceedance,"[[""HA"", ""DJ"", ""DP"", ""DFT"", ""NI"", ""TR"", ""MM"", ""GS"", ""GL"", ""JA"", ""SH"", ""OE"", ""PI""], [""DP"", ""HA"", ""MM"", ""NI"", ""TR"", ""JA"", ""GS"", ""GL"", ""PI"", ""DFT"", ""SH"", ""DJ"", ""OE""], [""DP"", ""JA"", ""SH"", ""NI"", ""MM"", ""GL"", ""DFT"", ""OE"", ""HA"", ""TR"", ""DJ"", ""PI"", ""GS""], [""GL"", ""JA"", ""PI"", ""MM"", ""DFT"", ""HA"", ""DJ"", ""OE"", ""GS"", ""TR"", ""SH"", ""NI"", ""DP""], [""PI"", ""DJ"", ""NI"", ""JA"", ""SH"", ""DFT"", ""TR"", ""MM"", ""DP"", ""OE"", ""HA"", ""GL"", ""GS""]]"
