CITADEL notebook progress log
seed=123 threads=1 preset=full
[2026-06-01 08:02:49] | [TCAD notebook cell] | START | elapsed=0.0s | preset=full config=configs/tcad_grid_full.json
[2026-06-01 08:02:49] | [TCAD notebook cell] | calling standard DSE helper | elapsed=0.0s | scenarios=('RH', 'SPECTRE')
[2026-06-01 08:02:49] | [TCAD ablation] | START | elapsed=0.0s | out=results/notebook_run/tcad_ablation configs=1800 scenarios=('RH', 'SPECTRE') windows=(50, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950, 1000)
[2026-06-01 08:02:49] | [TCAD ablation] | loading telemetry | elapsed=0.0s | data/telemetry/processed/ddr_data
[2026-06-01 08:03:05] | [TCAD ablation] | loaded telemetry | elapsed=15.2s | A rows=390,000, B rows=390,000
[2026-06-01 08:03:12] | [TCAD ablation] | shared features | elapsed=22.4s | count=136
[2026-06-01 08:03:12] | [TCAD ablation] | building feature ranks | elapsed=22.4s | Setup A
[2026-06-01 08:03:31] | [TCAD ablation] | building feature ranks | elapsed=42.0s | Setup B
[2026-06-01 08:03:57] | [TCAD ablation] | evaluating grid | 1/1800 (0.1%) | elapsed=67.7s | setup=A k=5 lambda=0.0 agg=max weight=uniform q=8
[2026-06-01 08:29:20] | [TCAD ablation] | evaluating grid | 90/1800 (5.0%) | elapsed=1590.7s | setup=A k=5 lambda=0.5 agg=median weight=inv_var q=18
[2026-06-01 08:55:40] | [TCAD ablation] | evaluating grid | 180/1800 (10.0%) | elapsed=3170.4s | setup=A k=8 lambda=0.0 agg=median weight=inv_var q=18
[2026-06-01 09:21:53] | [TCAD ablation] | evaluating grid | 270/1800 (15.0%) | elapsed=4744.0s | setup=A k=8 lambda=0.75 agg=median weight=inv_var q=18
[2026-06-01 09:49:58] | [TCAD ablation] | evaluating grid | 360/1800 (20.0%) | elapsed=6428.1s | setup=A k=10 lambda=0.25 agg=median weight=inv_var q=18
[2026-06-01 10:22:35] | [TCAD ablation] | evaluating grid | 450/1800 (25.0%) | elapsed=8385.7s | setup=A k=10 lambda=1.0 agg=median weight=inv_var q=18
[2026-06-01 10:57:27] | [TCAD ablation] | evaluating grid | 540/1800 (30.0%) | elapsed=10477.2s | setup=A k=15 lambda=0.5 agg=median weight=inv_var q=18
[2026-06-01 11:29:19] | [TCAD ablation] | evaluating grid | 630/1800 (35.0%) | elapsed=12389.4s | setup=A k=20 lambda=0.0 agg=median weight=inv_var q=18
[2026-06-01 11:56:49] | [TCAD ablation] | evaluating grid | 720/1800 (40.0%) | elapsed=14039.4s | setup=A k=20 lambda=0.75 agg=median weight=inv_var q=18
[2026-06-01 12:24:29] | [TCAD ablation] | evaluating grid | 810/1800 (45.0%) | elapsed=15699.8s | setup=A k=30 lambda=0.25 agg=median weight=inv_var q=18
[2026-06-01 12:52:58] | [TCAD ablation] | evaluating grid | 900/1800 (50.0%) | elapsed=17408.6s | setup=A k=30 lambda=1.0 agg=median weight=inv_var q=18
[2026-06-01 13:53:37] | [TCAD ablation] | evaluating grid | 990/1800 (55.0%) | elapsed=21047.9s | setup=B k=5 lambda=0.5 agg=median weight=inv_var q=18
[2026-06-01 14:47:51] | [TCAD ablation] | evaluating grid | 1080/1800 (60.0%) | elapsed=24301.8s | setup=B k=8 lambda=0.0 agg=median weight=inv_var q=18
[2026-06-01 15:47:02] | [TCAD ablation] | evaluating grid | 1170/1800 (65.0%) | elapsed=27852.1s | setup=B k=8 lambda=0.75 agg=median weight=inv_var q=18
[2026-06-01 16:56:31] | [TCAD ablation] | evaluating grid | 1260/1800 (70.0%) | elapsed=32021.5s | setup=B k=10 lambda=0.25 agg=median weight=inv_var q=18
[2026-06-01 18:07:25] | [TCAD ablation] | evaluating grid | 1350/1800 (75.0%) | elapsed=36275.4s | setup=B k=10 lambda=1.0 agg=median weight=inv_var q=18
[2026-06-01 19:01:16] | [TCAD ablation] | evaluating grid | 1440/1800 (80.0%) | elapsed=39506.7s | setup=B k=15 lambda=0.5 agg=median weight=inv_var q=18
[2026-06-01 19:56:44] | [TCAD ablation] | evaluating grid | 1530/1800 (85.0%) | elapsed=42834.7s | setup=B k=20 lambda=0.0 agg=median weight=inv_var q=18
[2026-06-01 20:46:20] | [TCAD ablation] | evaluating grid | 1620/1800 (90.0%) | elapsed=45810.1s | setup=B k=20 lambda=0.75 agg=median weight=inv_var q=18
[2026-06-01 21:37:14] | [TCAD ablation] | evaluating grid | 1710/1800 (95.0%) | elapsed=48864.6s | setup=B k=30 lambda=0.25 agg=median weight=inv_var q=18
[2026-06-01 22:33:58] | [TCAD ablation] | evaluating grid | 1800/1800 (100.0%) | elapsed=52267.8s | setup=B k=30 lambda=1.0 agg=median weight=inv_var q=18
[2026-06-01 22:34:32] | [TCAD ablation] | summarizing fold results | elapsed=52302.1s | fold_frames=1800
[2026-06-01 22:34:37] | [TCAD ablation] | writing CSV artifacts | elapsed=52307.0s
[2026-06-01 22:35:04] | [TCAD ablation] | writing manifest | elapsed=52334.5s
[2026-06-01 22:35:08] | [TCAD ablation] | DONE | elapsed=52338.0s | results/notebook_run/tcad_ablation/tcad_ablation_summary.csv
[2026-06-01 22:35:38] | [TCAD notebook cell] | standard DSE branch complete | 1/2 (50.0%) | elapsed=52368.0s | DROOP adaptive branch follows
[2026-06-01 22:35:38] | [DROOP-adaptive CINTAS] | START | elapsed=0.0s | windows=(50, 100, 200, 500, 1000)
[2026-06-01 22:35:38] | [DROOP-adaptive CINTAS] | building DROOP-only augmented telemetry | elapsed=0.0s
[2026-06-01 22:35:38] | [DROOP-adaptive CINTAS] | loading source telemetry | 1/52 (1.9%) | elapsed=0.0s | DDR4_DROOP_dft.csv
[2026-06-01 22:35:38] | [DROOP-adaptive CINTAS] | adding transient features | 1/52 (1.9%) | elapsed=0.1s | DDR4_DROOP_dft.csv: rows=10,000 cols=181
[2026-06-01 22:35:38] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 1/52 (1.9%) | elapsed=0.3s | DDR4_DROOP_dft.csv: cols=421
[2026-06-01 22:35:39] | [DROOP-adaptive CINTAS] | loading source telemetry | 2/52 (3.8%) | elapsed=1.6s | DDR4_DROOP_dj.csv
[2026-06-01 22:35:39] | [DROOP-adaptive CINTAS] | adding transient features | 2/52 (3.8%) | elapsed=1.6s | DDR4_DROOP_dj.csv: rows=10,000 cols=181
[2026-06-01 22:35:40] | [DROOP-adaptive CINTAS] | writing augmented telemetry | 2/52 (3.8%) | elapsed=1.9s | DDR4_DROOP_dj.csv: cols=421
[2026-06-01 22:35:41] | [DROOP-adaptive CINTAS] | loading source telemetry | 3/52 (5.8%) | elapsed=3.2s | DDR4_DROOP_dp.csv
[2026-06-01 22:35:41] | [DROOP-adaptive CINTAS] | adding transient features | 3/52 (5.8%) | elapsed=3.2s | DDR4_DROOP_dp.csv: rows=10,000 cols=181
